scenario,policy,origin_week,target_week,horizon,category,region,planned_shortage
base,moving_average,2018-07-16,2018-07-16,1,housewares,South,0.0
base,moving_average,2018-07-16,2018-07-23,2,housewares,South,0.0
base,moving_average,2018-07-16,2018-07-30,3,housewares,South,0.0
base,moving_average,2018-07-16,2018-08-06,4,housewares,South,0.0
base,moving_average,2018-07-16,2018-07-16,1,housewares,Southeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,housewares,Southeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,housewares,Southeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,housewares,Southeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,sports_leisure,Central-West,0.0
base,moving_average,2018-07-16,2018-07-23,2,sports_leisure,Central-West,0.0
base,moving_average,2018-07-16,2018-07-30,3,sports_leisure,Central-West,0.0
base,moving_average,2018-07-16,2018-08-06,4,sports_leisure,Central-West,0.0
base,moving_average,2018-07-16,2018-07-16,1,sports_leisure,North,0.0
base,moving_average,2018-07-16,2018-07-23,2,sports_leisure,North,0.0
base,moving_average,2018-07-16,2018-07-30,3,sports_leisure,North,0.0
base,moving_average,2018-07-16,2018-08-06,4,sports_leisure,North,0.0
base,moving_average,2018-07-16,2018-07-16,1,sports_leisure,Northeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,sports_leisure,Northeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,sports_leisure,Northeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,sports_leisure,Northeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,sports_leisure,South,0.0
base,moving_average,2018-07-16,2018-07-23,2,sports_leisure,South,0.0
base,moving_average,2018-07-16,2018-07-30,3,sports_leisure,South,0.0
base,moving_average,2018-07-16,2018-08-06,4,sports_leisure,South,0.0
base,moving_average,2018-07-16,2018-07-16,1,sports_leisure,Southeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,sports_leisure,Southeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,sports_leisure,Southeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,sports_leisure,Southeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,telephony,Central-West,0.0
base,moving_average,2018-07-16,2018-07-23,2,telephony,Central-West,0.0
base,moving_average,2018-07-16,2018-07-30,3,telephony,Central-West,0.0
base,moving_average,2018-07-16,2018-08-06,4,telephony,Central-West,0.0
base,moving_average,2018-07-16,2018-07-16,1,telephony,North,0.0
base,moving_average,2018-07-16,2018-07-23,2,telephony,North,0.0
base,moving_average,2018-07-16,2018-07-30,3,telephony,North,0.0
base,moving_average,2018-07-16,2018-08-06,4,telephony,North,0.0
base,moving_average,2018-07-16,2018-07-16,1,telephony,Northeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,telephony,Northeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,telephony,Northeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,telephony,Northeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,telephony,South,0.0
base,moving_average,2018-07-16,2018-07-23,2,telephony,South,0.0
base,moving_average,2018-07-16,2018-07-30,3,telephony,South,0.0
base,moving_average,2018-07-16,2018-08-06,4,telephony,South,0.0
base,moving_average,2018-07-16,2018-07-16,1,telephony,Southeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,telephony,Southeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,telephony,Southeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,telephony,Southeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,watches_gifts,Central-West,0.0
base,moving_average,2018-07-16,2018-07-23,2,watches_gifts,Central-West,0.0
base,moving_average,2018-07-16,2018-07-30,3,watches_gifts,Central-West,0.0
base,moving_average,2018-07-16,2018-08-06,4,watches_gifts,Central-West,0.0
base,moving_average,2018-07-16,2018-07-16,1,watches_gifts,North,0.0
base,moving_average,2018-07-16,2018-07-23,2,watches_gifts,North,0.0
base,moving_average,2018-07-16,2018-07-30,3,watches_gifts,North,0.0
base,moving_average,2018-07-16,2018-08-06,4,watches_gifts,North,0.0
base,moving_average,2018-07-16,2018-07-16,1,watches_gifts,Northeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,watches_gifts,Northeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,watches_gifts,Northeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,watches_gifts,Northeast,0.0
base,moving_average,2018-07-16,2018-07-16,1,watches_gifts,South,0.0
base,moving_average,2018-07-16,2018-07-23,2,watches_gifts,South,0.0
base,moving_average,2018-07-16,2018-07-30,3,watches_gifts,South,0.0
base,moving_average,2018-07-16,2018-08-06,4,watches_gifts,South,0.0
base,moving_average,2018-07-16,2018-07-16,1,watches_gifts,Southeast,0.0
base,moving_average,2018-07-16,2018-07-23,2,watches_gifts,Southeast,0.0
base,moving_average,2018-07-16,2018-07-30,3,watches_gifts,Southeast,0.0
base,moving_average,2018-07-16,2018-08-06,4,watches_gifts,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,auto,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,auto,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,auto,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,auto,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,auto,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,auto,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,auto,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,auto,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,auto,Northeast,13.0
base,moving_average,2018-07-23,2018-07-30,2,auto,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,auto,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,auto,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,auto,South,3.0
base,moving_average,2018-07-23,2018-07-30,2,auto,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,auto,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,auto,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,auto,Southeast,3.0
base,moving_average,2018-07-23,2018-07-30,2,auto,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,auto,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,auto,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,bed_bath_table,Central-West,4.0
base,moving_average,2018-07-23,2018-07-30,2,bed_bath_table,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,bed_bath_table,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,bed_bath_table,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,bed_bath_table,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,bed_bath_table,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,bed_bath_table,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,bed_bath_table,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,bed_bath_table,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,bed_bath_table,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,bed_bath_table,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,bed_bath_table,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,bed_bath_table,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,bed_bath_table,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,bed_bath_table,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,bed_bath_table,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,bed_bath_table,Southeast,11.0
base,moving_average,2018-07-23,2018-07-30,2,bed_bath_table,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,bed_bath_table,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,bed_bath_table,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,computers_accessories,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,computers_accessories,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,computers_accessories,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,computers_accessories,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,computers_accessories,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,computers_accessories,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,computers_accessories,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,computers_accessories,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,computers_accessories,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,computers_accessories,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,computers_accessories,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,computers_accessories,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,computers_accessories,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,computers_accessories,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,computers_accessories,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,computers_accessories,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,computers_accessories,Southeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,computers_accessories,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,computers_accessories,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,computers_accessories,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,furniture_decor,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,furniture_decor,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,furniture_decor,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,furniture_decor,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,furniture_decor,North,3.0
base,moving_average,2018-07-23,2018-07-30,2,furniture_decor,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,furniture_decor,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,furniture_decor,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,furniture_decor,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,furniture_decor,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,furniture_decor,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,furniture_decor,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,furniture_decor,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,furniture_decor,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,furniture_decor,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,furniture_decor,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,furniture_decor,Southeast,5.0
base,moving_average,2018-07-23,2018-07-30,2,furniture_decor,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,furniture_decor,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,furniture_decor,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,garden_tools,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,garden_tools,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,garden_tools,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,garden_tools,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,garden_tools,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,garden_tools,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,garden_tools,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,garden_tools,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,garden_tools,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,garden_tools,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,garden_tools,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,garden_tools,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,garden_tools,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,garden_tools,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,garden_tools,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,garden_tools,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,garden_tools,Southeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,garden_tools,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,garden_tools,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,garden_tools,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,health_beauty,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,health_beauty,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,health_beauty,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,health_beauty,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,health_beauty,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,health_beauty,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,health_beauty,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,health_beauty,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,health_beauty,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,health_beauty,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,health_beauty,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,health_beauty,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,health_beauty,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,health_beauty,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,health_beauty,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,health_beauty,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,health_beauty,Southeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,health_beauty,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,health_beauty,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,health_beauty,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,housewares,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,housewares,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,housewares,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,housewares,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,housewares,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,housewares,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,housewares,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,housewares,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,housewares,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,housewares,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,housewares,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,housewares,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,housewares,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,housewares,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,housewares,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,housewares,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,housewares,Southeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,housewares,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,housewares,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,housewares,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,sports_leisure,Central-West,0.0
base,moving_average,2018-07-23,2018-07-30,2,sports_leisure,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,sports_leisure,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,sports_leisure,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,sports_leisure,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,sports_leisure,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,sports_leisure,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,sports_leisure,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,sports_leisure,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,sports_leisure,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,sports_leisure,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,sports_leisure,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,sports_leisure,South,0.0
base,moving_average,2018-07-23,2018-07-30,2,sports_leisure,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,sports_leisure,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,sports_leisure,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,sports_leisure,Southeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,sports_leisure,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,sports_leisure,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,sports_leisure,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,telephony,Central-West,2.0
base,moving_average,2018-07-23,2018-07-30,2,telephony,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,telephony,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,telephony,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,telephony,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,telephony,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,telephony,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,telephony,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,telephony,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,telephony,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,telephony,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,telephony,Northeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,telephony,South,6.0
base,moving_average,2018-07-23,2018-07-30,2,telephony,South,0.0
base,moving_average,2018-07-23,2018-08-06,3,telephony,South,0.0
base,moving_average,2018-07-23,2018-08-13,4,telephony,South,0.0
base,moving_average,2018-07-23,2018-07-23,1,telephony,Southeast,1.0
base,moving_average,2018-07-23,2018-07-30,2,telephony,Southeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,telephony,Southeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,telephony,Southeast,0.0
base,moving_average,2018-07-23,2018-07-23,1,watches_gifts,Central-West,2.0
base,moving_average,2018-07-23,2018-07-30,2,watches_gifts,Central-West,0.0
base,moving_average,2018-07-23,2018-08-06,3,watches_gifts,Central-West,0.0
base,moving_average,2018-07-23,2018-08-13,4,watches_gifts,Central-West,0.0
base,moving_average,2018-07-23,2018-07-23,1,watches_gifts,North,0.0
base,moving_average,2018-07-23,2018-07-30,2,watches_gifts,North,0.0
base,moving_average,2018-07-23,2018-08-06,3,watches_gifts,North,0.0
base,moving_average,2018-07-23,2018-08-13,4,watches_gifts,North,0.0
base,moving_average,2018-07-23,2018-07-23,1,watches_gifts,Northeast,0.0
base,moving_average,2018-07-23,2018-07-30,2,watches_gifts,Northeast,0.0
base,moving_average,2018-07-23,2018-08-06,3,watches_gifts,Northeast,0.0
base,moving_average,2018-07-23,2018-08-13,4,watches_gifts,Northeast,0.0
